k,l,u,v,rho,cluster,frame
159,50,3705.64,1016.01,-4.08016,17,15
160,49,3717.04,996.619,-3.81216,17,15
160,50,3727.49,1015.52,-3.31975,17,15
161,51,3738.02,1034.92,-4.08016,17,15
161,50,3749.26,1014.49,-3.81216,17,15
162,51,3760.22,1034.58,-3.31975,17,15
162,49,3760.19,996.478,-3.31975,17,15
161,49,3737.89,996.907,-4.08016,17,15
161,48,3749.73,978.8,-3.81216,17,15
160,48,3727.39,978.399,-3.31975,17,15
155,52,3620.14,1054.67,-3.81216,17,15
163,46,3793.65,940.095,-3.31975,17,15
154,110,3593.04,2233.08,-3.34158,44,15
155,111,3603.12,2253.2,-4.10198,44,15
156,111,3626.34,2252.42,-3.34158,44,15
157,111,3648.38,2252.94,-3.83399,44,15
156,112,3637.23,2270.82,-4.10198,44,15
157,112,3659.1,2270.2,-3.34158,44,15
158,113,3669.71,2290.01,-4.10198,44,15
158,112,3681.25,2270.55,-3.83399,44,15
159,113,3691.88,2289.25,-3.34158,44,15
159,114,3702.04,2309.11,-4.10198,44,15
160,113,3714.03,2289.58,-3.83399,44,15
160,112,3724.6,2270.13,-3.34158,44,15
159,112,3702.01,2271.1,-4.10198,44,15
160,111,3714.52,2252.85,-3.83399,44,15
159,111,3691.86,2252.48,-3.34158,44,15
160,110,3725.39,2233.53,-3.34158,44,15
161,111,3736.19,2253.25,-4.10198,44,15
162,111,3758.04,2251.7,-3.34158,44,15
161,112,3746.51,2270.19,-3.83399,44,15
161,113,3734.09,2289.46,-4.10198,44,15
162,113,3756.94,2289.09,-3.34158,44,15
161,114,3746.15,2308.48,-3.83399,44,15
161,115,3733.81,2327.42,-4.10198,44,15
161,116,3746.02,2346.98,-3.83399,44,15
161,117,3733.45,2365.88,-4.10198,44,15
162,117,3756.47,2365.19,-3.34158,44,15
161,118,3746.02,2384.29,-3.83399,44,15
162,119,3757.35,2403.57,-3.34158,44,15
161,119,3734.91,2403.32,-4.10198,44,15
161,120,3747.48,2422.12,-3.83399,44,15
160,120,3725.22,2421.55,-3.34158,44,15
160,119,3714.48,2402.22,-3.83399,44,15
159,119,3692,2402.43,-3.34158,44,15
158,118,3681.57,2383.27,-3.83399,44,15
157,118,3659.03,2383.45,-3.34158,44,15
158,117,3669.83,2364.2,-4.10198,44,15
159,117,3691.9,2364.41,-3.34158,44,15
160,117,3713.94,2364.36,-3.83399,44,15
160,118,3724.5,2383.57,-3.34158,44,15
159,116,3702.13,2346.4,-4.10198,44,15
160,116,3724.43,2346.27,-3.34158,44,15
160,115,3713.97,2327.74,-3.83399,44,15
159,115,3691.83,2327.34,-3.34158,44,15
158,115,3669.71,2327.38,-4.10198,44,15
158,116,3681.5,2346.74,-3.83399,44,15
157,116,3659.03,2346.43,-3.34158,44,15
157,115,3648.56,2327.4,-3.83399,44,15
156,116,3637.37,2347.2,-4.10198,44,15
156,115,3626.4,2327.35,-3.34158,44,15
155,116,3616.19,2346.86,-3.83399,44,15
154,116,3594.06,2346.56,-3.34158,44,15
155,115,3605.11,2328.1,-4.10198,44,15
154,114,3594,2308.31,-3.34158,44,15
155,114,3616.21,2308.36,-3.83399,44,15
156,113,3626.43,2289.14,-3.34158,44,15
156,114,3637.35,2309.09,-4.10198,44,15
157,113,3648.71,2289.43,-3.83399,44,15
157,114,3659.06,2308.22,-3.34158,44,15
158,114,3681.25,2308.37,-3.83399,44,15
155,113,3605.2,2289.83,-4.10198,44,15
154,112,3593.92,2270.12,-3.34158,44,15
154,113,3584.16,2289.07,-3.83399,44,15
154,111,3582.98,2252,-3.83399,44,15
156,117,3626.32,2364.47,-3.34158,44,15
157,117,3648.59,2364.36,-3.83399,44,15
160,114,3724.5,2308.31,-3.34158,44,15
158,120,3682.06,2420.72,-3.83399,44,15
157,120,3659.2,2421.13,-3.34158,44,15
162,115,3756.77,2327.45,-3.34158,44,15
154,90,3594.14,1827.25,-3.32448,35,15
155,90,3616.64,1827.83,-3.81689,35,15
155,89,3604.31,1809.18,-4.08488,35,15
156,89,3626.59,1808.81,-3.32448,35,15
156,90,3637.44,1829.17,-4.08488,35,15
157,89,3649.06,1809.67,-3.81689,35,15
157,90,3659.98,1827.85,-3.32448,35,15
158,90,3682.28,1828.33,-3.81689,35,15
159,89,3692.89,1809.22,-3.32448,35,15
160,89,3715.81,1809.85,-3.81689,35,15
159,90,3703.88,1829.17,-4.08488,35,15
160,90,3725.57,1827.88,-3.32448,35,15
160,91,3715.11,1846.03,-3.81689,35,15
159,92,3703.41,1865.23,-4.08488,35,15
159,91,3692.74,1845.7,-3.32448,35,15
158,91,3670.78,1846.36,-4.08488,35,15
158,92,3682.49,1864.97,-3.81689,35,15
157,92,3660.03,1864.71,-3.32448,35,15
158,93,3670.79,1884.09,-4.08488,35,15
158,94,3682.44,1903.19,-3.81689,35,15
158,95,3670.94,1922.73,-4.08488,35,15
157,94,3660.09,1902.93,-3.32448,35,15
157,95,3649.74,1922.18,-3.81689,35,15
156,95,3627.61,1921.99,-3.32448,35,15
155,94,3617.4,1903.1,-3.81689,35,15
155,95,3606.72,1923.15,-4.08488,35,15
154,96,3595.3,1940.31,-3.32448,35,15
155,97,3605.96,1959.38,-4.08488,35,15
154,98,3594.58,1978.68,-3.32448,35,15
155,98,3616.83,1977.97,-3.81689,35,15
156,97,3627.52,1958.91,-3.32448,35,15
156,96,3638.66,1939.52,-4.08488,35,15
157,97,3649.66,1958.61,-3.81689,35,15
157,98,3660.01,1977.8,-3.32448,35,15
156,98,3637.23,1976.47,-4.08488,35,15
158,98,3682.39,1977.43,-3.81689,35,15
158,97,3670.9,1958.33,-4.08488,35,15
159,97,3692.82,1959.03,-3.32448,35,15
160,97,3715.18,1958.88,-3.81689,35,15
159,96,3703.46,1939.59,-4.08488,35,15
160,96,3725.59,1940,-3.32448,35,15
161,96,3747.48,1940.05,-3.81689,35,15
162,97,3757.98,1959.46,-3.32448,35,15
162,98,3768.08,1979.07,-4.08488,35,15
163,97,3779.97,1959.55,-3.81689,35,15
162,96,3767.2,1941.18,-4.08488,35,15
162,95,3758,1921.95,-3.32448,35,15
161,95,3735.48,1922.68,-4.08488,35,15
161,94,3747.4,1903.08,-3.81689,35,15
161,93,3735.5,1884.54,-4.08488,35,15
161,92,3747.04,1863.77,-3.81689,35,15
162,93,3758.08,1883.85,-3.32448,35,15
162,92,3767.13,1864.07,-4.08488,35,15
163,92,3790.07,1864.25,-3.32448,35,15
163,93,3779.06,1883.36,-3.81689,35,15
162,91,3758.12,1845.52,-3.32448,35,15
161,91,3735.8,1845.87,-4.08488,35,15
160,92,3725.57,1864.81,-3.32448,35,15
160,93,3715.14,1884.06,-3.81689,35,15
159,93,3692.83,1883.88,-3.32448,35,15
159,94,3703.46,1903.02,-4.08488,35,15
160,95,3715.1,1922.24,-3.81689,35,15
159,95,3692.86,1922.01,-3.32448,35,15
158,96,3682.38,1939.85,-3.81689,35,15
157,96,3660.04,1939.95,-3.32448,35,15
160,94,3725.59,1902.95,-3.32448,35,15
162,90,3768.99,1827.95,-4.08488,35,15
162,89,3759.17,1808.57,-3.32448,35,15
162,99,3758.36,1997.27,-3.32448,35,15
161,99,3736.43,1996.63,-4.08488,35,15
161,98,3748.15,1977.98,-3.81689,35,15
161,97,3736.03,1958.85,-4.08488,35,15
160,98,3725.87,1978.03,-3.32448,35,15
160,99,3715.56,1995.87,-3.81689,35,15
159,99,3692.85,1996.34,-3.32448,35,15
156,93,3627.56,1883.8,-3.32448,35,15
156,94,3638.56,1903.86,-4.08488,35,15
157,93,3649.84,1884.01,-3.81689,35,15
156,92,3638.66,1865.09,-4.08488,35,15
156,91,3627.52,1845.68,-3.32448,35,15
157,91,3649.8,1845.87,-3.81689,35,15
155,92,3617.46,1864.87,-3.81689,35,15
155,93,3606.78,1884.58,-4.08488,35,15
154,92,3595.29,1864.66,-3.32448,35,15
155,91,3606.47,1845.57,-4.08488,35,15
154,70,3596.79,1420.69,-3.33182,26,15
155,70,3618.6,1420.93,-3.82423,26,15
156,71,3628.58,1440.21,-3.33182,26,15
157,71,3650.77,1440.25,-3.82423,26,15
156,72,3639.66,1459.18,-4.09223,26,15
157,73,3650.7,1478.56,-3.82423,26,15
156,73,3628.6,1478.39,-3.33182,26,15
155,72,3618.61,1459.27,-3.82423,26,15
157,72,3661,1459.21,-3.33182,26,15
158,73,3671.85,1478.81,-4.09223,26,15
158,72,3683.16,1459.22,-3.82423,26,15
158,71,3671.72,1440.18,-4.09223,26,15
158,70,3683.18,1421.23,-3.82423,26,15
157,70,3661.12,1421.1,-3.33182,26,15
156,70,3639.79,1421.52,-4.09223,26,15
156,69,3628.23,1403.13,-3.33182,26,15
155,68,3617.48,1383.82,-3.82423,26,15
156,67,3627.79,1364.83,-3.33182,26,15
156,68,3638.08,1385.14,-4.09223,26,15
157,68,3661.06,1384.38,-3.33182,26,15
158,69,3671.92,1404.19,-4.09223,26,15
158,68,3683.34,1384.88,-3.82423,26,15
159,69,3693.75,1403.14,-3.33182,26,15
160,69,3715.86,1403.57,-3.82423,26,15
160,68,3726.63,1384.3,-3.33182,26,15
161,68,3749.5,1384.7,-3.82423,26,15
161,69,3737.13,1404.14,-4.09223,26,15
162,69,3759.45,1403.1,-3.33182,26,15
163,69,3781.57,1402.99,-3.82423,26,15
163,68,3792.69,1383.23,-3.33182,26,15
162,68,3771.16,1384.74,-4.09223,26,15
162,67,3760.44,1365.28,-3.33182,26,15
162,70,3768.5,1420.65,-4.09223,26,15
163,71,3780.51,1440.19,-3.82423,26,15
163,70,3791.32,1420.78,-3.33182,26,15
162,71,3759.15,1440.12,-3.33182,26,15
161,71,3736.48,1440.83,-4.09223,26,15
161,70,3748.46,1421.31,-3.82423,26,15
160,70,3726.48,1421.11,-3.33182,26,15
159,70,3704.24,1421.65,-4.09223,26,15
160,71,3715.91,1440.2,-3.82423,26,15
159,72,3704.17,1459.18,-4.09223,26,15
160,73,3715.95,1478.45,-3.82423,26,15
159,74,3704.32,1497.84,-4.09223,26,15
159,73,3693.69,1478.28,-3.33182,26,15
158,74,3683.18,1497.57,-3.82423,26,15
157,74,3660.95,1497.45,-3.33182,26,15
159,75,3693.68,1515.27,-3.33182,26,15
160,75,3715.99,1515.01,-3.82423,26,15
160,76,3726.52,1534.24,-3.33182,26,15
161,76,3748.73,1534.09,-3.82423,26,15
161,75,3736.63,1514.76,-4.09223,26,15
162,75,3758.9,1515.28,-3.33182,26,15
162,76,3768.87,1535.46,-4.09223,26,15
163,76,3791.88,1535.28,-3.33182,26,15
163,75,3780.42,1516.15,-3.82423,26,15
162,74,3767.98,1499.21,-4.09223,26,15
163,73,3780.36,1478.59,-3.82423,26,15
163,74,3790.74,1498.16,-3.33182,26,15
162,73,3758.94,1478.22,-3.33182,26,15
161,73,3736.49,1478.23,-4.09223,26,15
161,74,3748.33,1497.27,-3.82423,26,15
160,74,3726.44,1497.14,-3.33182,26,15
161,72,3748.49,1459.32,-3.82423,26,15
160,72,3726.42,1459.18,-3.33182,26,15
163,77,3781.57,1553.91,-3.82423,26,15
162,77,3759.53,1553.47,-3.33182,26,15
160,77,3716.65,1552.42,-3.82423,26,15
159,77,3693.81,1552.95,-3.33182,26,15
158,76,3683.27,1533.91,-3.82423,26,15
157,76,3660.86,1534.31,-3.33182,26,15
157,77,3650.13,1552.48,-3.82423,26,15
159,71,3693.71,1440.12,-3.33182,26,15
137,46,3197.75,939.111,-3.83447,16,15
138,47,3209.48,958.234,-3.34206,16,15
137,48,3198.41,977.4,-3.83447,16,15
138,49,3209.7,995.527,-3.34206,16,15
138,50,3220.99,1015.03,-4.10246,16,15
137,50,3198.66,1014.77,-3.83447,16,15
138,51,3209.71,1033.91,-3.34206,16,15
139,51,3230.8,1033.78,-3.83447,16,15
139,50,3242.06,1014.65,-3.34206,16,15
140,51,3252.89,1034.1,-4.10246,16,15
140,50,3263.29,1014.7,-3.83447,16,15
141,50,3285.76,1014.88,-4.10246,16,15
141,49,3274.72,995.531,-3.34206,16,15
140,49,3252.95,995.782,-4.10246,16,15
139,49,3230.78,995.52,-3.83447,16,15
139,48,3242.03,977.385,-3.34206,16,15
139,47,3230.71,958.611,-3.83447,16,15
140,47,3253.28,959.992,-4.10246,16,15
140,46,3263.27,940.022,-3.83447,16,15
141,45,3274.87,920.731,-3.34206,16,15
141,47,3274.74,958.364,-3.34206,16,15
140,48,3263.27,977.491,-3.83447,16,15
141,48,3285.7,977.793,-4.10246,16,15
142,48,3307.56,977.378,-3.34206,16,15
142,47,3295.95,958.679,-3.83447,16,15
143,47,3318.52,959.808,-4.10246,16,15
142,46,3307.41,939.491,-3.34206,16,15
143,46,3329.13,939.878,-3.83447,16,15
144,46,3352.41,940.195,-4.10246,16,15
144,45,3341.12,920.525,-3.34206,16,15
145,45,3362.62,920.166,-3.83447,16,15
145,46,3373.54,938.871,-3.34206,16,15
145,47,3361.17,958.162,-3.83447,16,15
144,48,3350.24,978.204,-4.10246,16,15
145,48,3372.71,977.333,-3.34206,16,15
145,49,3360.27,995.314,-3.83447,16,15
145,50,3372.3,1014.58,-3.34206,16,15
145,51,3360.14,1034.02,-3.83447,16,15
144,52,3349.25,1054.24,-4.10246,16,15
144,51,3340.04,1033.52,-3.34206,16,15
143,52,3328.2,1052.54,-3.83447,16,15
144,53,3339.96,1071.62,-3.34206,16,15
143,53,3318.13,1071.76,-4.10246,16,15
142,53,3295.9,1071.54,-3.83447,16,15
142,52,3307.53,1052.67,-3.34206,16,15
142,51,3295.96,1033.71,-3.83447,16,15
142,50,3307.42,1014.58,-3.34206,16,15
142,49,3295.83,995.575,-3.83447,16,15
143,49,3318.12,995.759,-4.10246,16,15
144,49,3340.19,995.542,-3.34206,16,15
143,50,3328.31,1014.63,-3.83447,16,15
143,51,3318.03,1033.9,-4.10246,16,15
144,50,3349.8,1014.94,-4.10246,16,15
143,48,3328.45,977.713,-3.83447,16,15
144,47,3340.38,958.415,-3.34206,16,15
141,52,3285.69,1052.98,-4.10246,16,15
140,52,3263.06,1052.6,-3.83447,16,15
141,53,3274.6,1071.73,-3.34206,16,15
140,54,3263.05,1089,-3.83447,16,15
141,55,3274.95,1108.16,-3.34206,16,15
142,55,3296.94,1107.38,-3.83447,16,15
141,51,3274.66,1033.66,-3.34206,16,15
139,52,3242.02,1052.7,-3.34206,16,15
143,54,3328.93,1089.21,-3.83447,16,15
144,55,3340.89,1108.67,-3.34206,16,15
145,55,3361.74,1109.25,-3.83447,16,15
144,54,3349.87,1090.49,-4.10246,16,15
145,54,3373.16,1090.4,-3.34206,16,15
145,53,3360.03,1073.34,-3.83447,16,15
145,52,3371.88,1053.37,-3.34206,16,15
138,46,3219.8,940.082,-4.10246,16,15
